character,code,image
Daenerys Targaryen,Daenerys Targaryen,https://beam-images.warnermediacdn.com/2025-07/daenarys-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Tyrion Lannister,Tyrion Lannister,https://beam-images.warnermediacdn.com/2025-07/tyrion-lannister-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Jon Snow,Jon Snow,https://beam-images.warnermediacdn.com/2025-07/john-snow-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Jaime Lannister,Jaime Lannister,https://beam-images.warnermediacdn.com/2025-07/jamie-lannister-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Cersei Lannister,Cersei Lannister,https://beam-images.warnermediacdn.com/2025-07/cersei-lannister-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Robb Stark,Robb Stark,https://beam-images.warnermediacdn.com/2025-07/robert-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Sansa Stark,Sansa Stark,https://beam-images.warnermediacdn.com/2025-07/sansa-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Arya Stark,Arya Stark,https://beam-images.warnermediacdn.com/2025-07/arya-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
"Sandor Clegane (""The Hound"")",Sandor Clegane,https://beam-images.warnermediacdn.com/2025-07/sandor-clegane-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Brienne of Tarth,Brienne of Tarth,https://beam-images.warnermediacdn.com/2025-07/brienne-of-tarth-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Jaqen H'ghar,Jaqen H'ghar,https://beam-images.warnermediacdn.com/2025-07/jaqen-hghar-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Trystane Martell,Trystane Martell,https://beam-images.warnermediacdn.com/2025-07/trystane-martell-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Septa Mordane,Septa Mordane,https://beam-images.warnermediacdn.com/2025-07/septa-mordane-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Stannis Baratheon,Stannis Baratheon,https://beam-images.warnermediacdn.com/2025-07/stannis-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
High Priestess,High Priestess,https://beam-images.warnermediacdn.com/2025-07/high-priestess-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Shae,Shae,https://beam-images.warnermediacdn.com/2025-07/shae-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Eddard 'Ned' Stark,Eddard Stark,https://beam-images.warnermediacdn.com/2025-07/eddard-ned-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Ygritte,Ygritte,https://beam-images.warnermediacdn.com/2025-07/ygritte-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Tyene Sand,Tyene Sand,https://beam-images.warnermediacdn.com/2025-07/tyene-sand-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Rodrik Cassel,Rodrik Cassel,https://beam-images.warnermediacdn.com/2025-07/ser-rodrik-cassel-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Illyrio,Illyrio,https://beam-images.warnermediacdn.com/2025-07/magister-illyrio-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Izembaro,Izembaro,https://beam-images.warnermediacdn.com/2025-07/izembaro-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Beric Dondarrion,Beric Dondarrion,https://beam-images.warnermediacdn.com/2025-07/beric-dondarron-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Euron Greyjoy,Euron Greyjoy,https://beam-images.warnermediacdn.com/2025-07/euron-greyjoy-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Maester Aemon,Maester Aemon,https://beam-images.warnermediacdn.com/2025-07/aemon-targaryen-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Oberyn Martell,Oberyn Martell,https://beam-images.warnermediacdn.com/2025-07/oberyn-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Thoros of Myr,Thoros of Myr,https://beam-images.warnermediacdn.com/2025-07/thoros-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Balon Greyjoy,Balon Greyjoy,https://beam-images.warnermediacdn.com/2025-07/balon-greyjoy-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Alliser Thorne,Alliser Thorne,https://beam-images.warnermediacdn.com/2025-07/allister-thorne-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Talisa Stark,Talisa Stark,https://beam-images.warnermediacdn.com/2025-07/talisa-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Myrcella Baratheon,Myrcella Baratheon,https://beam-images.warnermediacdn.com/2025-07/myrcella-baratheon-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Margaery Tyrell,Margaery Tyrell,https://beam-images.warnermediacdn.com/2025-07/margarey-tyrell-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Osha,Osha,https://beam-images.warnermediacdn.com/2025-07/osha-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Syrio Forel,Syrio Forel,https://beam-images.warnermediacdn.com/2025-07/syrio-forel-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Daario Naharis,Daario Naharis,https://beam-images.warnermediacdn.com/2025-07/daario-naharis-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Catelyn Stark,Catelyn Stark,https://beam-images.warnermediacdn.com/2025-07/catelyn-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Roose Bolton,Roose Bolton,https://beam-images.warnermediacdn.com/2025-07/roose-bolton-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Mirri Maz Duur,Mirri Maz Duur,https://beam-images.warnermediacdn.com/2025-07/mirri-maz-duur-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Grenn,Grenn,https://beam-images.warnermediacdn.com/2025-07/grenn-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Robert Baratheon,Robert Baratheon,https://beam-images.warnermediacdn.com/2025-07/robert-baratheon-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Orell,Orell,https://beam-images.warnermediacdn.com/2025-07/orell-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
