Text,Character,Affiliation,Episode,EpisodeName,Season
" It’s Maester Luwin, my lord.",MAESTER LUWIN,NORTH,1,Winter is Coming,1
ls it true about Stannis and Renly?,ADDAM MARBRAND,WESTERLANDS,10,Fire and Blood,1
Kevan Lannister:  First we must return to Casterly Rock to raise –,ADDAM MARBRAND,WESTERLANDS,10,Fire and Blood,1
We speak in the presence of the Drowned God. In his name we father today to choose a new king as our leader. Who makes a claim?,AERON GREYJOY,IRON ISLANDS,5,The Door,6
" May Euron, your servant, be born again from the sea as you were. Bless him with salt. Bless him with stone. Bless him with steel.",AERON GREYJOY,IRON ISLANDS,5,The Door,6
Let the fish eat the scales off his eyes.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
" What is dead may never die, but rises again harder and stronger.",AERON GREYJOY,IRON ISLANDS,5,The Door,6
What is dead may never die.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
They stole our best ships.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
Listen to the waves. Listen to the god. He is speaking to us and he says we shall have no king but Euron Greyjoy. Let the sea wash your follies and your vanities away. Let the old Euron drown. Let his lungs fill with seawater.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
" Lord, take your servant Balon back beneath the waves. Feed the creatures of your kingdom on his flesh. Pull his bones down to your depths to rest beside his ancestors and his children.",AERON GREYJOY,IRON ISLANDS,2,Home,6
" The Salt Throne is not yours to swear upon, not unless the kingsmoot chooses you.",AERON GREYJOY,IRON ISLANDS,2,Home,6
Your father does not get to choose. The law is clear. Perhaps you'll win. Perhaps you’ll be the first woman in history to rule the Ironborn. And perhaps not.,AERON GREYJOY,IRON ISLANDS,2,Home,6
(chanting)  The King in the North! The King in the North! The King in the North! The King in the North!,CROWD,WESTEROSI,10,Fire and Blood,1
(chanting)  The King in the North! The King in the North! The King in the North! The King in the North!,CROWD,WESTEROSI,10,Fire and Blood,1
The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North!,CROWD,WESTEROSI,10,The Winds of Winter,6
Long may she reign.,CROWD,WESTEROSI,10,The Winds of Winter,6
Sword! Sword! Sword! Sword! Sword! Sword! Sword! Sword! Sword!,CROWD,WESTEROSI,9,Baelor,1
" Save our sons from war, we pray",CROWD,WESTEROSI,9,Blackwater,2
Halfman! Halfman! Halfman!,CROWD,WESTEROSI,9,Blackwater,2
We do!,CROWD,WESTEROSI,9,Battle of the Bastards,6
We do!,CROWD,WESTEROSI,9,Battle of the Bastards,6
Hail King Joffrey. Hail Queen Margaery.,CROWD,WESTEROSI,6,Blood of My Blood,6
All hail Bran the Broken!,CROWD,WESTEROSI,6,The Iron Throne,8
The Queen in the North! The Queen in the North! The Queen in the North! The Queen in the North! The Queen in the North!,CROWD,WESTEROSI,6,The Iron Throne,8
Long may he reign!,CROWD,WESTEROSI,5,First of His Name,4
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
What is dead may never die.,CROWD,WESTEROSI,5,The Door,6
And now his watch has ended.,CROWD,WESTEROSI,4,And Now His Watch Is Ended,3
To Gendry!,CROWD,WESTEROSI,4,The Last of the Starks,8
Rah! Rah! Rah! Rah!,CROWD,WESTEROSI,4,The Last of the Starks,8
What is dead may never die.,CROWD,WESTEROSI,2,Home,6
Stand together!,CROWD,WESTEROSI,1,Dragonstone,7
Aye!,CROWD,WESTEROSI,1,Dragonstone,7
And now their watch is ended.,NIGHT'S WATCH,WALL,10,The Children,4
" And win no glory. I shall live and die at my post. I am the sword in the darkness. I am the watcher on the walls. I am the shield that guards the realms of men. I pledge my life and honor to the Night's Watch, for this night and all the nights to come!",NIGHT'S WATCH,WALL,9,The Watchers on the Wall,4
