Text,Character,Affiliation,Season,Episode,EpisodeName
Kevan Lannister:  First we must return to Casterly Rock to raise –,ADDAM MARBRAND,WESTERLANDS,1,10,Fire and Blood
ls it true about Stannis and Renly?,ADDAM MARBRAND,WESTERLANDS,1,10,Fire and Blood
" Lord, take your servant Balon back beneath the waves. Feed the creatures of your kingdom on his flesh. Pull his bones down to your depths to rest beside his ancestors and his children.",AERON GREYJOY,IRON ISLANDS,6,2,Home
" The Salt Throne is not yours to swear upon, not unless the kingsmoot chooses you.",AERON GREYJOY,IRON ISLANDS,6,2,Home
Your father does not get to choose. The law is clear. Perhaps you'll win. Perhaps you’ll be the first woman in history to rule the Ironborn. And perhaps not.,AERON GREYJOY,IRON ISLANDS,6,2,Home
" May Euron, your servant, be born again from the sea as you were. Bless him with salt. Bless him with stone. Bless him with steel.",AERON GREYJOY,IRON ISLANDS,6,5,The Door
" What is dead may never die, but rises again harder and stronger.",AERON GREYJOY,IRON ISLANDS,6,5,The Door
Let the fish eat the scales off his eyes.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
Listen to the waves. Listen to the god. He is speaking to us and he says we shall have no king but Euron Greyjoy. Let the sea wash your follies and your vanities away. Let the old Euron drown. Let his lungs fill with seawater.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
They stole our best ships.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
We speak in the presence of the Drowned God. In his name we father today to choose a new king as our leader. Who makes a claim?,AERON GREYJOY,IRON ISLANDS,6,5,The Door
What is dead may never die.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
" If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?",ALLISER THORNE,WALL,1,3,Lord Snow
" Lord Snow, it appears you're the least useless person here. Go clean yourselves up. There's only so much I can stomach in a day.",ALLISER THORNE,WALL,1,3,Lord Snow
Next!,ALLISER THORNE,WALL,1,3,Lord Snow
Next!,ALLISER THORNE,WALL,1,3,Lord Snow
" A bit nippy, yeah, by the fire, indoors. It's still summer. Do you boys even remember the last winter? How long has it been now? What, 10 years? I remember. Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built?",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" Enjoying yourselves? You look cold, boys.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" Looks like the bastard's in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" On your feet. Pick up your sword. Hit him till he finds his feet. It seems they've run short of poachers and thieves down south. Now they send us squealing bloody pigs. Again, harder.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" That's admirable. I spent six months out there, beyond the Wall during the last winter. It was supposed to be a two-week mission. We heard a rumor Mance Rayder was planning to attack Eastwatch. So we went out to look for some of his men... Capture them, gather some knowledge. The Wildlings who fight for Mance Rayder are hard men. Harder than you'll ever be. They know their country better than we do. They knew there was a storm coming in. So they hid in their caves and waited for it to pass. And we got caught in the open. Wind so strong it yanked 100-foot trees straight from the ground, roots and all. If you took your gloves off to find your cock to have a piss, you lost a finger to the frost. And all in darkness. You don't know cold. Neither of you do. The horses died first. We didn't have enough to feed them, to keep them warm. Eating the horses was easy. But later when we started to fall... That wasn't easy. We should have had a couple of boys like you along, shouldn't we? Soft, fat boys like you. We'd have lasted a fortnight on you and still had bones leftover for soup. Soon we'll have new recruits and you lot will be passed along to the Lord Commander for assignment and they will call you men of the Night's Watch, but you'd be fools to believe it. You're boys still. And come the winter you will die... Like flies.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" Well, you couldn't be any worse than you look. See what he can do.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" What are you waiting for? Attack him! You, get in there.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" You think this is funny, do you? When you're out there beyond the Wall with the sun going down, do you want a man at your back? Or a sniveling boy?",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
Tell them your name.,ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
We're done for today. Go clean the armory. That's all you're good for.,ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
"  Blood will always tell. You'll hang for this, bastard.",ALLISER THORNE,WALL,1,8,The Pointy End
"  Now there's a rare sight. Not only a bastard, but a traitor's bastard.",ALLISER THORNE,WALL,1,8,The Pointy End
" Lord Commander, Maester Aemon awaits you in his chambers. A raven from King's Landing.",ALLISER THORNE,WALL,1,8,The Pointy End
" I am acting commander here, Maester Aemon.",ALLISER THORNE,WALL,4,1,Two Swords
And I don't trust the bastard.,ALLISER THORNE,WALL,4,1,Two Swords
