character,code,image
Daenerys Targaryen,DAENERYS TARGARYEN,https://beam-images.warnermediacdn.com/2025-07/daenarys-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Tyrion Lannister,TYRION LANNISTER,https://beam-images.warnermediacdn.com/2025-07/tyrion-lannister-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Jon Snow,JON SNOW,https://beam-images.warnermediacdn.com/2025-07/john-snow-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Jaime Lannister,JAIME LANNISTER,https://beam-images.warnermediacdn.com/2025-07/jamie-lannister-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Cersei Lannister,CERSEI LANNISTER,https://beam-images.warnermediacdn.com/2025-07/cersei-lannister-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Robb Stark,ROBB STARK,https://beam-images.warnermediacdn.com/2025-07/robert-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Sansa Stark,SANSA STARK,https://beam-images.warnermediacdn.com/2025-07/sansa-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Arya Stark,ARYA STARK,https://beam-images.warnermediacdn.com/2025-07/arya-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
"Sandor Clegane (""The Hound"")",SANDOR CLEGANE,https://beam-images.warnermediacdn.com/2025-07/sandor-clegane-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Brienne of Tarth,BRIENNE OF TARTH,https://beam-images.warnermediacdn.com/2025-07/brienne-of-tarth-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Jaqen H'ghar,JAQEN H'GHAR,https://beam-images.warnermediacdn.com/2025-07/jaqen-hghar-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Trystane Martell,TRYSTANE MARTELL,https://beam-images.warnermediacdn.com/2025-07/trystane-martell-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Septa Mordane,SEPTA MORDANE,https://beam-images.warnermediacdn.com/2025-07/septa-mordane-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Stannis Baratheon,STANNIS BARATHEON,https://beam-images.warnermediacdn.com/2025-07/stannis-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
High Priestess,HIGH PRIESTESS,https://beam-images.warnermediacdn.com/2025-07/high-priestess-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Shae,SHAE,https://beam-images.warnermediacdn.com/2025-07/shae-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Eddard 'Ned' Stark,EDDARD STARK,https://beam-images.warnermediacdn.com/2025-07/eddard-ned-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Ygritte,YGRITTE,https://beam-images.warnermediacdn.com/2025-07/ygritte-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Tyene Sand,TYENE SAND,https://beam-images.warnermediacdn.com/2025-07/tyene-sand-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Rodrik Cassel,RODRIK CASSEL,https://beam-images.warnermediacdn.com/2025-07/ser-rodrik-cassel-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Illyrio,ILLYRIO,https://beam-images.warnermediacdn.com/2025-07/magister-illyrio-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Izembaro,IZEMBARO,https://beam-images.warnermediacdn.com/2025-07/izembaro-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Beric Dondarrion,BERIC DONDARRION,https://beam-images.warnermediacdn.com/2025-07/beric-dondarron-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Euron Greyjoy,EURON GREYJOY,https://beam-images.warnermediacdn.com/2025-07/euron-greyjoy-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Maester Aemon,MAESTER AEMON,https://beam-images.warnermediacdn.com/2025-07/aemon-targaryen-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Oberyn Martell,OBERYN MARTELL,https://beam-images.warnermediacdn.com/2025-07/oberyn-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Thoros of Myr,THOROS OF MYR,https://beam-images.warnermediacdn.com/2025-07/thoros-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Balon Greyjoy,BALON GREYJOY,https://beam-images.warnermediacdn.com/2025-07/balon-greyjoy-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Alliser Thorne,ALLISER THORNE,https://beam-images.warnermediacdn.com/2025-07/allister-thorne-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Talisa Stark,TALISA STARK,https://beam-images.warnermediacdn.com/2025-07/talisa-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Myrcella Baratheon,MYRCELLA BARATHEON,https://beam-images.warnermediacdn.com/2025-07/myrcella-baratheon-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Margaery Tyrell,MARGAERY TYRELL,https://beam-images.warnermediacdn.com/2025-07/margarey-tyrell-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Osha,OSHA,https://beam-images.warnermediacdn.com/2025-07/osha-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Syrio Forel,SYRIO FOREL,https://beam-images.warnermediacdn.com/2025-07/syrio-forel-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Daario Naharis,DAARIO NAHARIS,https://beam-images.warnermediacdn.com/2025-07/daario-naharis-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Catelyn Stark,CATELYN STARK,https://beam-images.warnermediacdn.com/2025-07/catelyn-stark-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Roose Bolton,ROOSE BOLTON,https://beam-images.warnermediacdn.com/2025-07/roose-bolton-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Mirri Maz Duur,MIRRI MAZ DUUR,https://beam-images.warnermediacdn.com/2025-07/mirri-maz-duur-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Grenn,GRENN,https://beam-images.warnermediacdn.com/2025-07/grenn-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Robert Baratheon,ROBERT BARATHEON,https://beam-images.warnermediacdn.com/2025-07/robert-baratheon-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
Orell,ORELL,https://beam-images.warnermediacdn.com/2025-07/orell-1920.jpg?host=wbd-dotcom-drupal-prd-us-east-1.s3.amazonaws.com&w=320
